model,category,dataset,query_format,chunk_strategy,n_chunks,chunk_expansion,pooling,has_prefix,MRR@1,Recall@1,HitRate@1,MRR@5,Recall@5,HitRate@5,MRR@10,Recall@10,HitRate@10,MRR@20,Recall@20,HitRate@20,MRR@50,Recall@50,HitRate@50,MRR@100,Recall@100,HitRate@100,P@1,NDCG@10,MAP@10,MeanRank,MedianRank,IQR_lo,IQR_hi,Rank>50_pct,Rank>100_pct,MRR@10_lo,MRR@10_hi,len_tercile_boundaries,len_MRR@10_short,len_P@1_short,len_Recall@10_short,len_MedianRank_short,len_n_short,len_mean_len_short,len_MRR@10_medium,len_P@1_medium,len_Recall@10_medium,len_MedianRank_medium,len_n_medium,len_mean_len_medium,len_MRR@10_long,len_P@1_long,len_Recall@10_long,len_MedianRank_long,len_n_long,len_mean_len_long,lex_spearman_rho,lex_spearman_p,lex_pearson_r,lex_pearson_p,lex_mean_overlap,lex_MRR@10_low_overlap,lex_P@1_low_overlap,lex_n_low_overlap,lex_MRR@10_mid_overlap,lex_P@1_mid_overlap,lex_n_mid_overlap,lex_MRR@10_high_overlap,lex_P@1_high_overlap,lex_n_high_overlap,geom_anisotropy,geom_self_similarity,geom_isoscore,geom_effective_rank
BioBERT,Domain Encoder,MTSamples,keyword,fixed_512,1067,2.13,mean,False,0.066,0.066,0.066,0.11446666666666667,0.21,0.21,0.12754206349206348,0.31,0.31,0.13619549583543392,0.434,0.434,0.1411389845161409,0.59,0.59,0.14310823207797443,0.726,0.726,0.066,0.17010327784955875,0.12754206349206348,104.36,30.0,7.0,110.0,41.0,27.400000000000002,0.10485833333333333,0.1492819246031746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,MTSamples,natural_language,fixed_512,1067,2.13,mean,False,0.17,0.17,0.17,0.24509999999999998,0.374,0.374,0.2629277777777778,0.506,0.506,0.2704506750473469,0.612,0.612,0.2742657225261136,0.734,0.734,0.2753906689704979,0.81,0.81,0.17,0.32010311672203284,0.2629277777777778,72.168,10.0,2.0,59.25,26.6,19.0,0.23199343253968258,0.29623914682539687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,MTSamples,keyword,section,500,1.0,mean,False,0.09,0.09,0.09,0.15366666666666667,0.272,0.272,0.16542301587301586,0.362,0.362,0.17191708469549025,0.46,0.46,0.1767209247706184,0.604,0.604,0.1783536651039554,0.714,0.714,0.09,0.21183590682608502,0.16542301587301586,93.594,25.0,4.0,128.0,39.6,28.599999999999998,0.14182335317460318,0.1926997619047619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,MTSamples,natural_language,section,500,1.0,mean,False,0.218,0.218,0.218,0.2966,0.432,0.432,0.31046984126984123,0.53,0.53,0.3174293327587445,0.624,0.624,0.32154606684520787,0.754,0.754,0.32237983425979416,0.814,0.814,0.218,0.3627584496779469,0.31046984126984123,62.566,9.0,2.0,49.25,24.6,18.6,0.2777594841269841,0.3477416071428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,PMC-Patients,keyword,full,500,1.0,mean,False,0.09,0.09,0.09,0.1378,0.232,0.232,0.1475761904761905,0.306,0.306,0.1529547870773877,0.388,0.388,0.1565375571117102,0.496,0.496,0.1586124543804115,0.642,0.642,0.09,0.18481759411611284,0.1475761904761905,103.506,52.0,6.75,149.25,50.4,35.8,0.12379446428571428,0.17449156746031746,"[305.0, 495.16500000000013]",0.28277352607709755,0.19642857142857142,0.4880952380952381,14.0,168.0,208.53571428571428,0.08757335257335257,0.03636363636363636,0.24242424242424243,62.0,165.0,396.8727272727273,0.07085353103317175,0.03592814371257485,0.18562874251497005,102.0,167.0,704.8383233532934,-0.31038678178031315,1.2550798630323542e-12,-0.2633884449509204,2.22142519200481e-09,0.01914203940677667,0.06728923106168615,0.03592814371257485,167.0,0.13269028494932109,0.07228915662650602,166.0,0.24265991825872066,0.16167664670658682,167.0,0.9476328492164612,0.9750933647155762,0.9050630008320619,277.1647033691406
BioBERT,Domain Encoder,PMC-Patients,natural_language,full,500,1.0,mean,False,0.388,0.388,0.388,0.46073333333333333,0.588,0.588,0.4741507936507936,0.684,0.684,0.48028120274118724,0.768,0.768,0.48280072238121163,0.852,0.852,0.48380867467122557,0.922,0.922,0.388,0.5240628033401086,0.4741507936507936,31.456,3.0,1.0,16.0,14.799999999999999,7.8,0.43649037698412696,0.5139333928571428,"[305.0, 495.16500000000013]",0.7175807823129251,0.6607142857142857,0.8333333333333334,1.0,168.0,208.53571428571428,0.35483405483405484,0.24848484848484848,0.6363636363636364,6.0,165.0,396.8727272727273,0.3471509362227925,0.25149700598802394,0.5808383233532934,6.0,167.0,704.8383233532934,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,PMC-Patients,keyword,fixed_256,1960,3.92,mean,False,0.058,0.058,0.058,0.09436666666666665,0.162,0.162,0.10322539682539683,0.232,0.232,0.10960270091965138,0.324,0.324,0.11421050298663205,0.466,0.466,0.11599877706633765,0.594,0.594,0.058,0.13322747757024425,0.10322539682539683,186.56,61.0,12.0,239.5,53.400000000000006,40.6,0.08196724206349207,0.12485650793650795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,PMC-Patients,natural_language,fixed_256,1960,3.92,mean,False,0.744,0.744,0.744,0.7924333333333334,0.862,0.862,0.7953984126984127,0.884,0.884,0.7974888783988628,0.914,0.914,0.7985718537614479,0.948,0.948,0.7989846990753403,0.976,0.976,0.744,0.8171833105128766,0.7953984126984127,14.038,1.0,1.0,2.0,5.2,2.4,0.7638390873015872,0.8274383333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,PMC-Patients,keyword,fixed_512,987,1.97,mean,False,0.036,0.036,0.036,0.05809999999999999,0.1,0.1,0.06647222222222222,0.166,0.166,0.07202150544673765,0.25,0.25,0.07743989735154723,0.424,0.424,0.07950370376751605,0.566,0.566,0.036,0.08930458254050518,0.06647222222222222,154.398,73.5,20.75,239.25,57.599999999999994,43.4,0.048924603174603176,0.08604037698412696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,PMC-Patients,natural_language,fixed_512,987,1.97,mean,False,0.382,0.382,0.382,0.4547,0.584,0.584,0.46844920634920634,0.686,0.686,0.4742747238399715,0.77,0.77,0.47668056710807466,0.85,0.85,0.4777639424838536,0.926,0.926,0.382,0.5199407160860773,0.46844920634920634,31.802,3.0,1.0,17.25,15.0,7.3999999999999995,0.42978371031746027,0.5082985912698412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,PMC-Patients,keyword,section,501,1.0,mean,False,0.09,0.09,0.09,0.1378,0.232,0.232,0.1475761904761905,0.306,0.306,0.1529437980663987,0.388,0.388,0.1565193941461788,0.496,0.496,0.15856336587613593,0.64,0.64,0.09,0.18481759411611284,0.1475761904761905,103.868,52.0,6.75,150.25,50.4,36.0,0.12379446428571428,0.17449156746031746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,PMC-Patients,natural_language,section,501,1.0,mean,False,0.388,0.388,0.388,0.46073333333333333,0.588,0.588,0.4741507936507936,0.684,0.684,0.48028120274118724,0.768,0.768,0.48279975619763676,0.852,0.852,0.4838077084876507,0.922,0.922,0.388,0.5240628033401086,0.4741507936507936,31.484,3.0,1.0,16.0,14.799999999999999,7.8,0.43649037698412696,0.5139333928571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,Synthetic,keyword,full,500,1.0,mean,False,0.02,0.02,0.02,0.03403333333333333,0.064,0.064,0.040095238095238094,0.11,0.11,0.04396571430805177,0.166,0.166,0.04757657404947977,0.28,0.28,0.049348186117658344,0.41,0.41,0.02,0.05613941895133391,0.040095238095238094,166.774,142.0,40.75,273.5,72.0,59.0,0.02818781746031746,0.05430400793650793,"[289.0, 310.0]",0.05037836840162422,0.029069767441860465,0.11627906976744186,121.0,172.0,273.0348837209302,0.0338520749665328,0.018072289156626505,0.09036144578313253,176.5,166.0,300.28915662650604,0.03557466196355086,0.012345679012345678,0.12345679012345678,126.0,162.0,330.2098765432099,0.1047715900596416,0.019111296607809213,0.08479616326685299,0.058123155951639735,0.021358872458362526,0.045485527544351076,0.023529411764705882,170.0,0.028676470588235293,0.011764705882352941,170.0,0.04650049603174604,0.025,160.0,0.9780442714691162,0.9921022057533264,0.8971897425826864,263.9296569824219
BioBERT,Domain Encoder,Synthetic,natural_language,full,500,1.0,mean,False,0.056,0.056,0.056,0.08986666666666668,0.154,0.154,0.10227857142857144,0.248,0.248,0.11051353739140117,0.366,0.366,0.11595675304312102,0.538,0.538,0.11851368001090042,0.718,0.718,0.056,0.13598359343850638,0.10227857142857144,78.558,41.0,11.0,111.25,46.2,28.199999999999996,0.08108079365079365,0.1238517857142857,"[289.0, 310.0]",0.059073920265780726,0.040697674418604654,0.14534883720930233,71.5,172.0,273.0348837209302,0.08244406196213425,0.03614457831325301,0.20481927710843373,42.0,166.0,300.28915662650604,0.16847442680776015,0.09259259259259259,0.4012345679012346,16.0,162.0,330.2098765432099,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,Synthetic,keyword,fixed_256,1499,3.0,mean,False,0.022,0.022,0.022,0.031766666666666665,0.052,0.052,0.03582142857142857,0.086,0.086,0.039261636110707314,0.134,0.134,0.04223642819936047,0.234,0.234,0.04422499192128412,0.384,0.384,0.022,0.04724478069646122,0.03582142857142857,221.254,164.0,60.75,338.0,76.6,61.6,0.022509781746031746,0.05003865079365079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,Synthetic,natural_language,fixed_256,1499,3.0,mean,False,0.068,0.068,0.068,0.11273333333333334,0.208,0.208,0.12626825396825397,0.31,0.31,0.13196797389057452,0.396,0.396,0.1373687593599487,0.562,0.562,0.13998212164404317,0.75,0.75,0.068,0.1689024196275897,0.12626825396825397,70.308,35.0,7.0,99.5,43.8,25.0,0.10360327380952382,0.15015071428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,Synthetic,keyword,fixed_512,987,1.97,mean,False,0.012,0.012,0.012,0.024266666666666666,0.05,0.05,0.029118253968253967,0.086,0.086,0.033910970316233476,0.152,0.152,0.03732744575218644,0.266,0.266,0.0391092140614859,0.396,0.396,0.012,0.04225615278968129,0.029118253968253967,189.862,143.0,48.0,299.5,73.4,60.4,0.018921170634920634,0.04052277777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,Synthetic,natural_language,fixed_512,987,1.97,mean,False,0.032,0.032,0.032,0.049133333333333334,0.088,0.088,0.05816587301587302,0.156,0.156,0.06302069359948617,0.226,0.226,0.06841696756549093,0.4,0.4,0.07118581785716548,0.598,0.598,0.032,0.08058577380977949,0.05816587301587302,115.05,74.0,23.0,159.5,60.0,40.2,0.04277291666666667,0.07557279761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,Synthetic,keyword,section,987,1.97,mean,False,0.008,0.008,0.008,0.016399999999999998,0.036,0.036,0.020494444444444444,0.068,0.068,0.0240772064450857,0.126,0.126,0.026885382266436646,0.216,0.216,0.029167627176140614,0.382,0.382,0.008,0.0313069619905109,0.020494444444444444,193.122,160.0,63.75,285.0,78.4,61.8,0.012004583333333334,0.030131388888888885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BioBERT,Domain Encoder,Synthetic,natural_language,section,987,1.97,mean,False,0.044,0.044,0.044,0.064,0.102,0.102,0.07079761904761905,0.154,0.154,0.07627051497693912,0.236,0.236,0.08283553770344111,0.446,0.446,0.08554623712769854,0.64,0.64,0.044,0.09005335645619204,0.07079761904761905,101.964,62.5,22.0,143.0,55.400000000000006,36.0,0.052612261904761905,0.09098948412698413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClinicalBERT,Domain Encoder,MTSamples,keyword,full,500,1.0,mean,False,0.066,0.066,0.066,0.11623333333333331,0.216,0.216,0.12941269841269842,0.314,0.314,0.13858831159380694,0.442,0.442,0.14397207896361616,0.614,0.614,0.14566994195783675,0.734,0.734,0.066,0.17263071460897442,0.12941269841269842,86.644,28.0,7.0,106.0,38.6,26.6,0.10596486111111111,0.1536265873015873,"[297.33399999999995, 508.833]",0.2176242752590058,0.11976047904191617,0.48502994011976047,11.0,167.0,197.32934131736528,0.08249426276534712,0.03614457831325301,0.22289156626506024,45.0,166.0,391.09638554216866,0.08783860849729114,0.041916167664670656,0.23353293413173654,44.0,167.0,794.8203592814372,-0.42842420064427983,9.733716249014046e-24,-0.34509865273572066,1.97940951135028e-15,0.023151511067052426,0.06169090390647277,0.029940119760479042,167.0,0.10549340218014917,0.04216867469879518,166.0,0.2209105598327155,0.12574850299401197,167.0,0.9049279689788818,0.9685674905776978,0.8797251045580171,221.7189483642578
ClinicalBERT,Domain Encoder,MTSamples,natural_language,full,500,1.0,mean,False,0.176,0.176,0.176,0.26180000000000003,0.416,0.416,0.2777238095238095,0.536,0.536,0.286632255403695,0.658,0.658,0.2903191427620934,0.778,0.778,0.2914802815348032,0.858,0.858,0.176,0.3388459929576839,0.2777238095238095,47.924,9.0,2.0,40.75,22.2,14.2,0.24531478174603175,0.3122010515873016,"[297.33399999999995, 508.833]",0.356686626746507,0.24550898203592814,0.6227544910179641,6.0,167.0,197.32934131736528,0.19983983553260662,0.10843373493975904,0.43373493975903615,12.5,166.0,391.09638554216866,0.27617859519057125,0.17365269461077845,0.5508982035928144,9.0,167.0,794.8203592814372,,,,,,,,,,,,,,,,,,
ClinicalBERT,Domain Encoder,MTSamples,keyword,fixed_256,2201,4.4,mean,False,0.062,0.062,0.062,0.10633333333333335,0.194,0.194,0.11907936507936506,0.292,0.292,0.1273844976832593,0.41,0.41,0.13273923832647222,0.568,0.568,0.13468454973183194,0.702,0.702,0.062,0.15926971149776528,0.11907936507936506,114.852,31.5,8.0,123.25,43.2,29.799999999999997,0.09768996031746033,0.14124499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClinicalBERT,Domain Encoder,MTSamples,natural_language,fixed_256,2201,4.4,mean,False,0.224,0.224,0.224,0.30926666666666663,0.458,0.458,0.3244666666666666,0.57,0.57,0.33191444388085256,0.674,0.674,0.3362406771224071,0.8,0.8,0.33720962826918727,0.866,0.866,0.224,0.38274375818189016,0.3244666666666666,76.81,7.0,2.0,31.25,20.0,13.4,0.291677380952381,0.3572452976190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClinicalBERT,Domain Encoder,MTSamples,keyword,fixed_512,1088,2.18,mean,False,0.038,0.038,0.038,0.07566666666666666,0.156,0.156,0.08924523809523811,0.26,0.26,0.09778423972827997,0.382,0.382,0.1039398329193236,0.576,0.576,0.10629867083848037,0.74,0.74,0.038,0.12865726212835168,0.08924523809523811,90.838,36.0,10.0,107.0,42.4,26.0,0.07084428571428572,0.10985172619047617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClinicalBERT,Domain Encoder,MTSamples,natural_language,fixed_512,1088,2.18,mean,False,0.13,0.13,0.13,0.1995,0.33,0.33,0.21540555555555557,0.452,0.452,0.2239023852652336,0.574,0.574,0.22927338258186847,0.742,0.742,0.23068187032025456,0.836,0.836,0.13,0.27080814067401165,0.21540555555555557,63.648,14.0,4.0,52.0,25.8,16.400000000000002,0.18722930555555556,0.24488218253968255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClinicalBERT,Domain Encoder,MTSamples,keyword,section,500,1.0,mean,False,0.066,0.066,0.066,0.11623333333333331,0.216,0.216,0.12941269841269842,0.314,0.314,0.13858831159380694,0.442,0.442,0.14397207896361616,0.614,0.614,0.14566994195783675,0.734,0.734,0.066,0.17263071460897442,0.12941269841269842,86.644,28.0,7.0,106.0,38.6,26.6,0.10596486111111111,0.1536265873015873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClinicalBERT,Domain Encoder,MTSamples,natural_language,section,500,1.0,mean,False,0.176,0.176,0.176,0.26180000000000003,0.416,0.416,0.2777238095238095,0.536,0.536,0.286632255403695,0.658,0.658,0.2903191427620934,0.778,0.778,0.2914802815348032,0.858,0.858,0.176,0.3388459929576839,0.2777238095238095,47.924,9.0,2.0,40.75,22.2,14.2,0.24531478174603175,0.3122010515873016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClinicalBERT,Domain Encoder,PMC-Patients,keyword,full,500,1.0,mean,False,0.03,0.03,0.03,0.04326666666666667,0.068,0.068,0.045862698412698404,0.088,0.088,0.050610657840611396,0.158,0.158,0.055257629237809545,0.304,0.304,0.05737978219301337,0.454,0.454,0.03,0.05578089318426623,0.045862698412698404,159.18,118.5,37.0,250.25,69.6,54.6,0.03126,0.062461845238095226,"[305.0, 495.16500000000013]",0.10209750566893423,0.06547619047619048,0.19642857142857142,57.0,168.0,208.53571428571428,0.010976430976430977,0.006060606060606061,0.024242424242424242,150.0,165.0,396.8727272727273,0.023759623609923012,0.017964071856287425,0.041916167664670656,194.0,167.0,704.8383233532934,-0.2933237378514071,2.2283691497013537e-11,-0.2925814532047047,2.5147038733438823e-11,0.01914203940677667,0.017771599657827205,0.011976047904191617,167.0,0.03569994262765347,0.024096385542168676,166.0,0.08405569812755441,0.05389221556886228,167.0,0.9192478060722351,0.9632137417793274,0.8852108991930971,244.9952392578125
ClinicalBERT,Domain Encoder,PMC-Patients,natural_language,full,500,1.0,mean,False,0.286,0.286,0.286,0.3626666666666667,0.492,0.492,0.37559603174603173,0.584,0.584,0.38335372331486883,0.694,0.694,0.3868490004680375,0.802,0.802,0.387908063472201,0.876,0.876,0.286,0.42532937435792223,0.37559603174603173,39.724,6.0,1.0,32.5,19.8,12.4,0.33772843253968254,0.4144304761904762,"[305.0, 495.16500000000013]",0.6119945200302342,0.5357142857142857,0.7619047619047619,1.0,168.0,208.53571428571428,0.23496151996151995,0.14545454545454545,0.46060606060606063,12.0,165.0,396.8727272727273,0.276732249786142,0.17365269461077845,0.5269461077844312,8.0,167.0,704.8383233532934,,,,,,,,,,,,,,,,,,
ClinicalBERT,Domain Encoder,PMC-Patients,keyword,fixed_256,2000,4.0,mean,False,0.012,0.012,0.012,0.020300000000000002,0.036,0.036,0.024003174603174603,0.066,0.066,0.026757122203561835,0.11,0.11,0.029597444394149477,0.196,0.196,0.03132545866182421,0.316,0.316,0.012,0.03359883129687579,0.024003174603174603,371.394,241.0,68.0,552.0,80.4,68.4,0.01316686507936508,0.036770317460317455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
