query_id,model,dataset,query_format,chunk_strategy,rank,reciprocal_rank
MTSamples_44,BM25,MTSamples,keyword,full,1,1.0
MTSamples_45,BM25,MTSamples,keyword,full,1,1.0
MTSamples_46,BM25,MTSamples,keyword,full,2,0.5
MTSamples_47,BM25,MTSamples,keyword,full,1,1.0
MTSamples_48,BM25,MTSamples,keyword,full,1,1.0
MTSamples_49,BM25,MTSamples,keyword,full,2,0.5
MTSamples_50,BM25,MTSamples,keyword,full,1,1.0
MTSamples_51,BM25,MTSamples,keyword,full,2,0.5
MTSamples_52,BM25,MTSamples,keyword,full,1,1.0
MTSamples_53,BM25,MTSamples,keyword,full,1,1.0
MTSamples_54,BM25,MTSamples,keyword,full,4,0.25
MTSamples_55,BM25,MTSamples,keyword,full,1,1.0
MTSamples_56,BM25,MTSamples,keyword,full,1,1.0
MTSamples_57,BM25,MTSamples,keyword,full,1,1.0
MTSamples_58,BM25,MTSamples,keyword,full,1,1.0
MTSamples_59,BM25,MTSamples,keyword,full,1,1.0
MTSamples_60,BM25,MTSamples,keyword,full,1,1.0
MTSamples_61,BM25,MTSamples,keyword,full,1,1.0
MTSamples_62,BM25,MTSamples,keyword,full,1,1.0
MTSamples_63,BM25,MTSamples,keyword,full,5,0.2
MTSamples_64,BM25,MTSamples,keyword,full,1,1.0
MTSamples_65,BM25,MTSamples,keyword,full,1,1.0
MTSamples_66,BM25,MTSamples,keyword,full,4,0.25
MTSamples_67,BM25,MTSamples,keyword,full,2,0.5
MTSamples_68,BM25,MTSamples,keyword,full,1,1.0
MTSamples_69,BM25,MTSamples,keyword,full,1,1.0
MTSamples_70,BM25,MTSamples,keyword,full,1,1.0
MTSamples_71,BM25,MTSamples,keyword,full,1,1.0
MTSamples_72,BM25,MTSamples,keyword,full,1,1.0
MTSamples_73,BM25,MTSamples,keyword,full,1,1.0
MTSamples_74,BM25,MTSamples,keyword,full,1,1.0
MTSamples_75,BM25,MTSamples,keyword,full,1,1.0
MTSamples_76,BM25,MTSamples,keyword,full,1,1.0
MTSamples_77,BM25,MTSamples,keyword,full,14,0.071429
MTSamples_78,BM25,MTSamples,keyword,full,2,0.5
MTSamples_79,BM25,MTSamples,keyword,full,1,1.0
MTSamples_80,BM25,MTSamples,keyword,full,1,1.0
MTSamples_81,BM25,MTSamples,keyword,full,1,1.0
MTSamples_82,BM25,MTSamples,keyword,full,2,0.5
MTSamples_83,BM25,MTSamples,keyword,full,18,0.055556
MTSamples_84,BM25,MTSamples,keyword,full,2,0.5
MTSamples_85,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_86,BM25,MTSamples,keyword,full,1,1.0
MTSamples_87,BM25,MTSamples,keyword,full,1,1.0
MTSamples_88,BM25,MTSamples,keyword,full,1,1.0
MTSamples_89,BM25,MTSamples,keyword,full,1,1.0
MTSamples_90,BM25,MTSamples,keyword,full,1,1.0
MTSamples_91,BM25,MTSamples,keyword,full,2,0.5
MTSamples_92,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_93,BM25,MTSamples,keyword,full,1,1.0
MTSamples_94,BM25,MTSamples,keyword,full,1,1.0
MTSamples_95,BM25,MTSamples,keyword,full,20,0.05
MTSamples_96,BM25,MTSamples,keyword,full,1,1.0
MTSamples_97,BM25,MTSamples,keyword,full,2,0.5
MTSamples_98,BM25,MTSamples,keyword,full,1,1.0
MTSamples_99,BM25,MTSamples,keyword,full,1,1.0
MTSamples_100,BM25,MTSamples,keyword,full,1,1.0
MTSamples_101,BM25,MTSamples,keyword,full,297,0.003367
MTSamples_102,BM25,MTSamples,keyword,full,382,0.002618
MTSamples_103,BM25,MTSamples,keyword,full,1,1.0
MTSamples_104,BM25,MTSamples,keyword,full,1,1.0
MTSamples_105,BM25,MTSamples,keyword,full,1,1.0
MTSamples_106,BM25,MTSamples,keyword,full,1,1.0
MTSamples_107,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_108,BM25,MTSamples,keyword,full,1,1.0
MTSamples_109,BM25,MTSamples,keyword,full,2,0.5
MTSamples_110,BM25,MTSamples,keyword,full,1,1.0
MTSamples_111,BM25,MTSamples,keyword,full,1,1.0
MTSamples_112,BM25,MTSamples,keyword,full,1,1.0
MTSamples_113,BM25,MTSamples,keyword,full,12,0.083333
MTSamples_114,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_115,BM25,MTSamples,keyword,full,1,1.0
MTSamples_116,BM25,MTSamples,keyword,full,1,1.0
MTSamples_117,BM25,MTSamples,keyword,full,1,1.0
MTSamples_118,BM25,MTSamples,keyword,full,1,1.0
MTSamples_119,BM25,MTSamples,keyword,full,2,0.5
MTSamples_120,BM25,MTSamples,keyword,full,1,1.0
MTSamples_121,BM25,MTSamples,keyword,full,1,1.0
MTSamples_122,BM25,MTSamples,keyword,full,10,0.1
MTSamples_123,BM25,MTSamples,keyword,full,1,1.0
MTSamples_124,BM25,MTSamples,keyword,full,1,1.0
MTSamples_125,BM25,MTSamples,keyword,full,1,1.0
MTSamples_126,BM25,MTSamples,keyword,full,1,1.0
MTSamples_127,BM25,MTSamples,keyword,full,2,0.5
MTSamples_128,BM25,MTSamples,keyword,full,1,1.0
MTSamples_129,BM25,MTSamples,keyword,full,1,1.0
MTSamples_130,BM25,MTSamples,keyword,full,1,1.0
MTSamples_131,BM25,MTSamples,keyword,full,1,1.0
MTSamples_132,BM25,MTSamples,keyword,full,1,1.0
MTSamples_133,BM25,MTSamples,keyword,full,1,1.0
MTSamples_134,BM25,MTSamples,keyword,full,1,1.0
MTSamples_135,BM25,MTSamples,keyword,full,1,1.0
MTSamples_136,BM25,MTSamples,keyword,full,2,0.5
MTSamples_137,BM25,MTSamples,keyword,full,1,1.0
MTSamples_138,BM25,MTSamples,keyword,full,1,1.0
MTSamples_139,BM25,MTSamples,keyword,full,9,0.111111
MTSamples_140,BM25,MTSamples,keyword,full,1,1.0
MTSamples_141,BM25,MTSamples,keyword,full,154,0.006494
MTSamples_142,BM25,MTSamples,keyword,full,2,0.5
MTSamples_143,BM25,MTSamples,keyword,full,1,1.0
MTSamples_144,BM25,MTSamples,keyword,full,1,1.0
MTSamples_145,BM25,MTSamples,keyword,full,1,1.0
MTSamples_146,BM25,MTSamples,keyword,full,10,0.1
MTSamples_147,BM25,MTSamples,keyword,full,1,1.0
MTSamples_148,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_149,BM25,MTSamples,keyword,full,1,1.0
MTSamples_150,BM25,MTSamples,keyword,full,1,1.0
MTSamples_151,BM25,MTSamples,keyword,full,2,0.5
MTSamples_152,BM25,MTSamples,keyword,full,48,0.020833
MTSamples_153,BM25,MTSamples,keyword,full,2,0.5
MTSamples_154,BM25,MTSamples,keyword,full,2,0.5
MTSamples_155,BM25,MTSamples,keyword,full,2,0.5
MTSamples_156,BM25,MTSamples,keyword,full,1,1.0
MTSamples_157,BM25,MTSamples,keyword,full,1,1.0
MTSamples_158,BM25,MTSamples,keyword,full,1,1.0
MTSamples_159,BM25,MTSamples,keyword,full,2,0.5
MTSamples_160,BM25,MTSamples,keyword,full,1,1.0
MTSamples_161,BM25,MTSamples,keyword,full,2,0.5
MTSamples_162,BM25,MTSamples,keyword,full,2,0.5
MTSamples_163,BM25,MTSamples,keyword,full,38,0.026316
MTSamples_164,BM25,MTSamples,keyword,full,1,1.0
MTSamples_165,BM25,MTSamples,keyword,full,1,1.0
MTSamples_166,BM25,MTSamples,keyword,full,1,1.0
MTSamples_167,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_168,BM25,MTSamples,keyword,full,1,1.0
MTSamples_169,BM25,MTSamples,keyword,full,2,0.5
MTSamples_170,BM25,MTSamples,keyword,full,2,0.5
MTSamples_171,BM25,MTSamples,keyword,full,1,1.0
MTSamples_172,BM25,MTSamples,keyword,full,1,1.0
MTSamples_173,BM25,MTSamples,keyword,full,1,1.0
MTSamples_174,BM25,MTSamples,keyword,full,4,0.25
MTSamples_175,BM25,MTSamples,keyword,full,1,1.0
MTSamples_176,BM25,MTSamples,keyword,full,1,1.0
MTSamples_177,BM25,MTSamples,keyword,full,1,1.0
MTSamples_178,BM25,MTSamples,keyword,full,1,1.0
MTSamples_179,BM25,MTSamples,keyword,full,2,0.5
MTSamples_180,BM25,MTSamples,keyword,full,1,1.0
MTSamples_181,BM25,MTSamples,keyword,full,1,1.0
MTSamples_182,BM25,MTSamples,keyword,full,101,0.009901
MTSamples_183,BM25,MTSamples,keyword,full,1,1.0
MTSamples_184,BM25,MTSamples,keyword,full,6,0.166667
MTSamples_185,BM25,MTSamples,keyword,full,168,0.005952
MTSamples_186,BM25,MTSamples,keyword,full,1,1.0
MTSamples_187,BM25,MTSamples,keyword,full,1,1.0
MTSamples_188,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_189,BM25,MTSamples,keyword,full,1,1.0
MTSamples_190,BM25,MTSamples,keyword,full,1,1.0
MTSamples_191,BM25,MTSamples,keyword,full,326,0.003067
MTSamples_192,BM25,MTSamples,keyword,full,2,0.5
MTSamples_193,BM25,MTSamples,keyword,full,1,1.0
MTSamples_194,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_195,BM25,MTSamples,keyword,full,1,1.0
MTSamples_196,BM25,MTSamples,keyword,full,1,1.0
MTSamples_197,BM25,MTSamples,keyword,full,30,0.033333
MTSamples_198,BM25,MTSamples,keyword,full,1,1.0
MTSamples_199,BM25,MTSamples,keyword,full,222,0.004505
MTSamples_200,BM25,MTSamples,keyword,full,1,1.0
MTSamples_201,BM25,MTSamples,keyword,full,1,1.0
MTSamples_202,BM25,MTSamples,keyword,full,2,0.5
MTSamples_203,BM25,MTSamples,keyword,full,1,1.0
MTSamples_204,BM25,MTSamples,keyword,full,10,0.1
MTSamples_205,BM25,MTSamples,keyword,full,1,1.0
MTSamples_206,BM25,MTSamples,keyword,full,1,1.0
MTSamples_207,BM25,MTSamples,keyword,full,7,0.142857
MTSamples_208,BM25,MTSamples,keyword,full,4,0.25
MTSamples_209,BM25,MTSamples,keyword,full,1,1.0
MTSamples_210,BM25,MTSamples,keyword,full,2,0.5
MTSamples_211,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_212,BM25,MTSamples,keyword,full,1,1.0
MTSamples_213,BM25,MTSamples,keyword,full,1,1.0
MTSamples_214,BM25,MTSamples,keyword,full,2,0.5
MTSamples_215,BM25,MTSamples,keyword,full,1,1.0
MTSamples_216,BM25,MTSamples,keyword,full,9,0.111111
MTSamples_217,BM25,MTSamples,keyword,full,1,1.0
MTSamples_218,BM25,MTSamples,keyword,full,1,1.0
MTSamples_219,BM25,MTSamples,keyword,full,2,0.5
MTSamples_220,BM25,MTSamples,keyword,full,1,1.0
MTSamples_221,BM25,MTSamples,keyword,full,1,1.0
MTSamples_222,BM25,MTSamples,keyword,full,2,0.5
MTSamples_223,BM25,MTSamples,keyword,full,1,1.0
MTSamples_224,BM25,MTSamples,keyword,full,1,1.0
MTSamples_225,BM25,MTSamples,keyword,full,1,1.0
MTSamples_226,BM25,MTSamples,keyword,full,1,1.0
MTSamples_227,BM25,MTSamples,keyword,full,1,1.0
MTSamples_228,BM25,MTSamples,keyword,full,1,1.0
MTSamples_229,BM25,MTSamples,keyword,full,1,1.0
MTSamples_230,BM25,MTSamples,keyword,full,1,1.0
MTSamples_231,BM25,MTSamples,keyword,full,1,1.0
MTSamples_232,BM25,MTSamples,keyword,full,1,1.0
MTSamples_233,BM25,MTSamples,keyword,full,1,1.0
MTSamples_234,BM25,MTSamples,keyword,full,1,1.0
MTSamples_235,BM25,MTSamples,keyword,full,2,0.5
MTSamples_236,BM25,MTSamples,keyword,full,2,0.5
MTSamples_237,BM25,MTSamples,keyword,full,1,1.0
MTSamples_238,BM25,MTSamples,keyword,full,1,1.0
MTSamples_239,BM25,MTSamples,keyword,full,1,1.0
MTSamples_240,BM25,MTSamples,keyword,full,1,1.0
MTSamples_241,BM25,MTSamples,keyword,full,1,1.0
MTSamples_242,BM25,MTSamples,keyword,full,1,1.0
MTSamples_243,BM25,MTSamples,keyword,full,143,0.006993
MTSamples_244,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_245,BM25,MTSamples,keyword,full,1,1.0
MTSamples_246,BM25,MTSamples,keyword,full,1,1.0
MTSamples_247,BM25,MTSamples,keyword,full,1,1.0
MTSamples_248,BM25,MTSamples,keyword,full,1,1.0
MTSamples_249,BM25,MTSamples,keyword,full,1,1.0
MTSamples_250,BM25,MTSamples,keyword,full,1,1.0
MTSamples_251,BM25,MTSamples,keyword,full,28,0.035714
MTSamples_252,BM25,MTSamples,keyword,full,1,1.0
MTSamples_253,BM25,MTSamples,keyword,full,1,1.0
MTSamples_254,BM25,MTSamples,keyword,full,1,1.0
MTSamples_255,BM25,MTSamples,keyword,full,1,1.0
MTSamples_256,BM25,MTSamples,keyword,full,1,1.0
MTSamples_257,BM25,MTSamples,keyword,full,1,1.0
MTSamples_258,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_259,BM25,MTSamples,keyword,full,29,0.034483
MTSamples_260,BM25,MTSamples,keyword,full,7,0.142857
MTSamples_261,BM25,MTSamples,keyword,full,1,1.0
MTSamples_262,BM25,MTSamples,keyword,full,1,1.0
MTSamples_263,BM25,MTSamples,keyword,full,1,1.0
MTSamples_264,BM25,MTSamples,keyword,full,8,0.125
MTSamples_265,BM25,MTSamples,keyword,full,1,1.0
MTSamples_266,BM25,MTSamples,keyword,full,1,1.0
MTSamples_267,BM25,MTSamples,keyword,full,1,1.0
MTSamples_268,BM25,MTSamples,keyword,full,1,1.0
MTSamples_269,BM25,MTSamples,keyword,full,1,1.0
MTSamples_270,BM25,MTSamples,keyword,full,2,0.5
MTSamples_271,BM25,MTSamples,keyword,full,1,1.0
MTSamples_272,BM25,MTSamples,keyword,full,5,0.2
MTSamples_273,BM25,MTSamples,keyword,full,1,1.0
MTSamples_274,BM25,MTSamples,keyword,full,1,1.0
MTSamples_275,BM25,MTSamples,keyword,full,1,1.0
MTSamples_276,BM25,MTSamples,keyword,full,1,1.0
MTSamples_277,BM25,MTSamples,keyword,full,7,0.142857
MTSamples_278,BM25,MTSamples,keyword,full,2,0.5
MTSamples_279,BM25,MTSamples,keyword,full,1,1.0
MTSamples_280,BM25,MTSamples,keyword,full,2,0.5
MTSamples_281,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_282,BM25,MTSamples,keyword,full,1,1.0
MTSamples_283,BM25,MTSamples,keyword,full,5,0.2
MTSamples_284,BM25,MTSamples,keyword,full,1,1.0
MTSamples_285,BM25,MTSamples,keyword,full,1,1.0
MTSamples_286,BM25,MTSamples,keyword,full,1,1.0
MTSamples_287,BM25,MTSamples,keyword,full,1,1.0
MTSamples_288,BM25,MTSamples,keyword,full,1,1.0
MTSamples_289,BM25,MTSamples,keyword,full,1,1.0
MTSamples_290,BM25,MTSamples,keyword,full,1,1.0
MTSamples_291,BM25,MTSamples,keyword,full,1,1.0
MTSamples_292,BM25,MTSamples,keyword,full,1,1.0
MTSamples_293,BM25,MTSamples,keyword,full,1,1.0
MTSamples_294,BM25,MTSamples,keyword,full,1,1.0
MTSamples_295,BM25,MTSamples,keyword,full,1,1.0
MTSamples_296,BM25,MTSamples,keyword,full,1,1.0
MTSamples_297,BM25,MTSamples,keyword,full,1,1.0
MTSamples_298,BM25,MTSamples,keyword,full,2,0.5
MTSamples_299,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_300,BM25,MTSamples,keyword,full,1,1.0
MTSamples_301,BM25,MTSamples,keyword,full,33,0.030303
MTSamples_302,BM25,MTSamples,keyword,full,2,0.5
MTSamples_303,BM25,MTSamples,keyword,full,1,1.0
MTSamples_304,BM25,MTSamples,keyword,full,1,1.0
MTSamples_305,BM25,MTSamples,keyword,full,1,1.0
MTSamples_306,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_307,BM25,MTSamples,keyword,full,1,1.0
MTSamples_308,BM25,MTSamples,keyword,full,1,1.0
MTSamples_309,BM25,MTSamples,keyword,full,1,1.0
MTSamples_310,BM25,MTSamples,keyword,full,1,1.0
MTSamples_311,BM25,MTSamples,keyword,full,1,1.0
MTSamples_312,BM25,MTSamples,keyword,full,1,1.0
MTSamples_313,BM25,MTSamples,keyword,full,1,1.0
MTSamples_314,BM25,MTSamples,keyword,full,1,1.0
MTSamples_315,BM25,MTSamples,keyword,full,1,1.0
MTSamples_316,BM25,MTSamples,keyword,full,2,0.5
MTSamples_317,BM25,MTSamples,keyword,full,1,1.0
MTSamples_318,BM25,MTSamples,keyword,full,1,1.0
MTSamples_319,BM25,MTSamples,keyword,full,1,1.0
MTSamples_320,BM25,MTSamples,keyword,full,1,1.0
MTSamples_321,BM25,MTSamples,keyword,full,6,0.166667
MTSamples_322,BM25,MTSamples,keyword,full,1,1.0
MTSamples_323,BM25,MTSamples,keyword,full,2,0.5
MTSamples_324,BM25,MTSamples,keyword,full,1,1.0
MTSamples_325,BM25,MTSamples,keyword,full,1,1.0
MTSamples_326,BM25,MTSamples,keyword,full,1,1.0
MTSamples_327,BM25,MTSamples,keyword,full,1,1.0
MTSamples_328,BM25,MTSamples,keyword,full,44,0.022727
MTSamples_329,BM25,MTSamples,keyword,full,1,1.0
MTSamples_330,BM25,MTSamples,keyword,full,2,0.5
MTSamples_331,BM25,MTSamples,keyword,full,1,1.0
MTSamples_332,BM25,MTSamples,keyword,full,14,0.071429
MTSamples_333,BM25,MTSamples,keyword,full,1,1.0
MTSamples_334,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_335,BM25,MTSamples,keyword,full,8,0.125
MTSamples_336,BM25,MTSamples,keyword,full,1,1.0
MTSamples_337,BM25,MTSamples,keyword,full,2,0.5
MTSamples_338,BM25,MTSamples,keyword,full,1,1.0
MTSamples_339,BM25,MTSamples,keyword,full,1,1.0
MTSamples_340,BM25,MTSamples,keyword,full,1,1.0
MTSamples_341,BM25,MTSamples,keyword,full,1,1.0
MTSamples_342,BM25,MTSamples,keyword,full,1,1.0
MTSamples_343,BM25,MTSamples,keyword,full,1,1.0
MTSamples_344,BM25,MTSamples,keyword,full,1,1.0
MTSamples_345,BM25,MTSamples,keyword,full,1,1.0
MTSamples_346,BM25,MTSamples,keyword,full,8,0.125
MTSamples_347,BM25,MTSamples,keyword,full,1,1.0
MTSamples_348,BM25,MTSamples,keyword,full,1,1.0
MTSamples_349,BM25,MTSamples,keyword,full,11,0.090909
MTSamples_350,BM25,MTSamples,keyword,full,1,1.0
MTSamples_351,BM25,MTSamples,keyword,full,1,1.0
MTSamples_352,BM25,MTSamples,keyword,full,40,0.025
MTSamples_353,BM25,MTSamples,keyword,full,1,1.0
MTSamples_354,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_355,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_356,BM25,MTSamples,keyword,full,2,0.5
MTSamples_357,BM25,MTSamples,keyword,full,1,1.0
MTSamples_358,BM25,MTSamples,keyword,full,1,1.0
MTSamples_359,BM25,MTSamples,keyword,full,2,0.5
MTSamples_360,BM25,MTSamples,keyword,full,1,1.0
MTSamples_361,BM25,MTSamples,keyword,full,1,1.0
MTSamples_362,BM25,MTSamples,keyword,full,1,1.0
MTSamples_363,BM25,MTSamples,keyword,full,21,0.047619
MTSamples_364,BM25,MTSamples,keyword,full,2,0.5
MTSamples_365,BM25,MTSamples,keyword,full,1,1.0
MTSamples_366,BM25,MTSamples,keyword,full,2,0.5
MTSamples_367,BM25,MTSamples,keyword,full,1,1.0
MTSamples_368,BM25,MTSamples,keyword,full,1,1.0
MTSamples_369,BM25,MTSamples,keyword,full,109,0.009174
MTSamples_370,BM25,MTSamples,keyword,full,1,1.0
MTSamples_371,BM25,MTSamples,keyword,full,1,1.0
MTSamples_372,BM25,MTSamples,keyword,full,1,1.0
MTSamples_373,BM25,MTSamples,keyword,full,6,0.166667
MTSamples_374,BM25,MTSamples,keyword,full,1,1.0
MTSamples_375,BM25,MTSamples,keyword,full,2,0.5
MTSamples_376,BM25,MTSamples,keyword,full,1,1.0
MTSamples_377,BM25,MTSamples,keyword,full,1,1.0
MTSamples_378,BM25,MTSamples,keyword,full,1,1.0
MTSamples_379,BM25,MTSamples,keyword,full,1,1.0
MTSamples_380,BM25,MTSamples,keyword,full,1,1.0
MTSamples_381,BM25,MTSamples,keyword,full,1,1.0
MTSamples_382,BM25,MTSamples,keyword,full,1,1.0
MTSamples_383,BM25,MTSamples,keyword,full,3,0.333333
MTSamples_384,BM25,MTSamples,keyword,full,1,1.0
MTSamples_385,BM25,MTSamples,keyword,full,1,1.0
MTSamples_386,BM25,MTSamples,keyword,full,1,1.0
MTSamples_387,BM25,MTSamples,keyword,full,12,0.083333
MTSamples_388,BM25,MTSamples,keyword,full,1,1.0
MTSamples_389,BM25,MTSamples,keyword,full,1,1.0
MTSamples_390,BM25,MTSamples,keyword,full,1,1.0
MTSamples_391,BM25,MTSamples,keyword,full,1,1.0
MTSamples_392,BM25,MTSamples,keyword,full,48,0.020833
MTSamples_393,BM25,MTSamples,keyword,full,1,1.0
MTSamples_394,BM25,MTSamples,keyword,full,6,0.166667
MTSamples_395,BM25,MTSamples,keyword,full,1,1.0
MTSamples_396,BM25,MTSamples,keyword,full,1,1.0
MTSamples_397,BM25,MTSamples,keyword,full,2,0.5
MTSamples_398,BM25,MTSamples,keyword,full,1,1.0
MTSamples_399,BM25,MTSamples,keyword,full,410,0.002439
MTSamples_400,BM25,MTSamples,keyword,full,1,1.0
MTSamples_401,BM25,MTSamples,keyword,full,1,1.0
MTSamples_402,BM25,MTSamples,keyword,full,1,1.0
MTSamples_403,BM25,MTSamples,keyword,full,1,1.0
MTSamples_404,BM25,MTSamples,keyword,full,288,0.003472
MTSamples_405,BM25,MTSamples,keyword,full,2,0.5
MTSamples_406,BM25,MTSamples,keyword,full,1,1.0
MTSamples_407,BM25,MTSamples,keyword,full,1,1.0
MTSamples_408,BM25,MTSamples,keyword,full,1,1.0
MTSamples_409,BM25,MTSamples,keyword,full,1,1.0
MTSamples_410,BM25,MTSamples,keyword,full,1,1.0
MTSamples_411,BM25,MTSamples,keyword,full,1,1.0
MTSamples_412,BM25,MTSamples,keyword,full,4,0.25
MTSamples_413,BM25,MTSamples,keyword,full,1,1.0
MTSamples_414,BM25,MTSamples,keyword,full,1,1.0
MTSamples_415,BM25,MTSamples,keyword,full,2,0.5
MTSamples_416,BM25,MTSamples,keyword,full,1,1.0
MTSamples_417,BM25,MTSamples,keyword,full,111,0.009009
MTSamples_418,BM25,MTSamples,keyword,full,22,0.045455
MTSamples_419,BM25,MTSamples,keyword,full,1,1.0
MTSamples_420,BM25,MTSamples,keyword,full,1,1.0
MTSamples_421,BM25,MTSamples,keyword,full,1,1.0
MTSamples_422,BM25,MTSamples,keyword,full,1,1.0
MTSamples_423,BM25,MTSamples,keyword,full,1,1.0
MTSamples_424,BM25,MTSamples,keyword,full,1,1.0
MTSamples_425,BM25,MTSamples,keyword,full,1,1.0
MTSamples_426,BM25,MTSamples,keyword,full,2,0.5
MTSamples_427,BM25,MTSamples,keyword,full,1,1.0
MTSamples_428,BM25,MTSamples,keyword,full,1,1.0
MTSamples_429,BM25,MTSamples,keyword,full,1,1.0
MTSamples_430,BM25,MTSamples,keyword,full,1,1.0
MTSamples_431,BM25,MTSamples,keyword,full,1,1.0
MTSamples_432,BM25,MTSamples,keyword,full,1,1.0
MTSamples_433,BM25,MTSamples,keyword,full,2,0.5
MTSamples_434,BM25,MTSamples,keyword,full,1,1.0
MTSamples_435,BM25,MTSamples,keyword,full,1,1.0
MTSamples_436,BM25,MTSamples,keyword,full,1,1.0
MTSamples_437,BM25,MTSamples,keyword,full,118,0.008475
MTSamples_438,BM25,MTSamples,keyword,full,1,1.0
MTSamples_439,BM25,MTSamples,keyword,full,2,0.5
MTSamples_440,BM25,MTSamples,keyword,full,1,1.0
MTSamples_441,BM25,MTSamples,keyword,full,1,1.0
MTSamples_442,BM25,MTSamples,keyword,full,1,1.0
MTSamples_443,BM25,MTSamples,keyword,full,4,0.25
MTSamples_444,BM25,MTSamples,keyword,full,2,0.5
MTSamples_445,BM25,MTSamples,keyword,full,1,1.0
MTSamples_446,BM25,MTSamples,keyword,full,2,0.5
MTSamples_447,BM25,MTSamples,keyword,full,1,1.0
MTSamples_448,BM25,MTSamples,keyword,full,1,1.0
MTSamples_449,BM25,MTSamples,keyword,full,1,1.0
MTSamples_450,BM25,MTSamples,keyword,full,2,0.5
MTSamples_451,BM25,MTSamples,keyword,full,1,1.0
MTSamples_452,BM25,MTSamples,keyword,full,2,0.5
MTSamples_453,BM25,MTSamples,keyword,full,1,1.0
MTSamples_454,BM25,MTSamples,keyword,full,1,1.0
MTSamples_455,BM25,MTSamples,keyword,full,1,1.0
MTSamples_456,BM25,MTSamples,keyword,full,12,0.083333
MTSamples_457,BM25,MTSamples,keyword,full,1,1.0
MTSamples_458,BM25,MTSamples,keyword,full,1,1.0
MTSamples_459,BM25,MTSamples,keyword,full,1,1.0
MTSamples_460,BM25,MTSamples,keyword,full,494,0.002024
MTSamples_461,BM25,MTSamples,keyword,full,1,1.0
